60	132
75	174
90	210
100	233
120	259
133	287
166	414
200	472
233	526
266	785
300	860
333	948
350	1000
400	1140
450	1250
550	1780
600	1930
650	2270
700	2420
750	2540
800	2690
866	2890
933	3100
1030	3280
